Local Time,City,Country code,timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,UTC Time
1/1/2023 0:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,224.5,9,55.7,73.8,59,62.3,2022-12-31T17:00:00
1/1/2023 1:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,206,6,56,88.8,71,59,2022-12-31T18:00:00
1/1/2023 2:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,203.7,6,54,96.3,77,58,2022-12-31T19:00:00
1/1/2023 3:00,Hanoi,VN,Asia/Ho_Chi_Minh,199,201.3,6,52,115,92,57,2022-12-31T20:00:00
1/1/2023 4:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,199,6,50,80,64,56,2022-12-31T21:00:00
1/1/2023 5:00,Hanoi,VN,Asia/Ho_Chi_Minh,172,204.8,8.3,46,90,72,56.7,2022-12-31T22:00:00
1/1/2023 6:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,210.7,10.7,42,80,64,57.3,2022-12-31T23:00:00
1/1/2023 7:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,216.5,13,38,78.8,63,58,2023-01-01T00:00:00
1/1/2023 8:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,209.5,11,45.7,83.8,67,57.7,2023-01-01T01:00:00
1/1/2023 9:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,202.5,9,53.3,93.8,75,57.3,2023-01-01T02:00:00
1/1/2023 10:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,195.5,7,61,71.3,57,57,2023-01-01T03:00:00
1/1/2023 11:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,200.6,9.3,68.3,77.5,62,69.7,2023-01-01T04:00:00
1/1/2023 12:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,205.6,11.7,75.7,73.8,59,82.3,2023-01-01T05:00:00
1/1/2023 13:00,Hanoi,VN,Asia/Ho_Chi_Minh,151,210.7,14,83,70,56,95,2023-01-01T06:00:00
1/1/2023 14:00,Hanoi,VN,Asia/Ho_Chi_Minh,123,219.8,16.3,91.3,55,44,106.3,2023-01-01T07:00:00
1/1/2023 15:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,229,18.7,99.7,63.8,51,117.7,2023-01-01T08:00:00
1/1/2023 16:00,Hanoi,VN,Asia/Ho_Chi_Minh,129,238.1,21,108,57.5,46,129,2023-01-01T09:00:00
1/1/2023 17:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,327.4,50.7,77.3,83.8,67,156,2023-01-01T10:00:00
1/1/2023 18:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,416.7,80.3,46.7,96.3,77,183,2023-01-01T11:00:00
1/1/2023 19:00,Hanoi,VN,Asia/Ho_Chi_Minh,215,506,110,16,130,104,210,2023-01-01T12:00:00
1/1/2023 20:00,Hanoi,VN,Asia/Ho_Chi_Minh,197,566.3,112.3,11.3,113.8,91,203.7,2023-01-01T13:00:00
1/1/2023 21:00,Hanoi,VN,Asia/Ho_Chi_Minh,205,626.6,114.7,6.7,121.3,97,197.3,2023-01-01T14:00:00
