timestamp_local,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_utc,ts
12/31/2022 0:00,164,299.2,2022-12-30:17,30,28.7,82.5,66,99.3,2022-12-30T17:00:00,1672419600
12/30/2022 23:00,172,314.8,2022-12-30:16,32,29.3,90,72,105.7,2022-12-30T16:00:00,1672416000
12/30/2022 22:00,169,330.3,2022-12-30:15,34,30,87.5,70,112,2022-12-30T15:00:00,1672412400
12/30/2022 21:00,184,321,2022-12-30:14,35.3,32,101.3,81,112.3,2022-12-30T14:00:00,1672408800
12/30/2022 20:00,200,311.6,2022-12-30:13,36.7,34,116.3,93,112.7,2022-12-30T13:00:00,1672405200
12/30/2022 19:00,173,302.3,2022-12-30:12,38,36,91.3,73,113,2022-12-30T12:00:00,1672401600
12/30/2022 18:00,157,281.9,2022-12-30:11,33.3,50.7,76.3,61,111,2022-12-30T11:00:00,1672398000
12/30/2022 17:00,155,261.5,2022-12-30:10,28.7,65.3,73.8,59,109,2022-12-30T10:00:00,1672394400
12/30/2022 16:00,126,241,2022-12-30:09,24,80,56.3,45,107,2022-12-30T09:00:00,1672390800
12/30/2022 15:00,104,226.2,2022-12-30:08,21.3,77.7,46.3,37,100.3,2022-12-30T08:00:00,1672387200
12/30/2022 14:00,98,211.5,2022-12-30:07,18.7,75.3,42.5,34,93.7,2022-12-30T07:00:00,1672383600
12/30/2022 13:00,104,196.7,2022-12-30:06,16,73,46.3,37,87,2022-12-30T06:00:00,1672380000
12/30/2022 12:00,95,178.8,2022-12-30:05,12.7,70,41.3,33,70.3,2022-12-30T05:00:00,1672376400
12/30/2022 11:00,91,160.9,2022-12-30:04,9.3,67,38.8,31,53.7,2022-12-30T04:00:00,1672372800
12/30/2022 10:00,89,143,2022-12-30:03,6,64,37.5,30,37,2022-12-30T03:00:00,1672369200
12/30/2022 9:00,87,142.6,2022-12-30:02,5.7,62.3,38,29,35,2022-12-30T02:00:00,1672365600
12/30/2022 8:00,85,142.2,2022-12-30:01,5.3,60.7,38.5,28,33,2022-12-30T01:00:00,1672362000
12/30/2022 7:00,82,141.8,2022-12-30:00,5,59,39,27,31,2022-12-30T00:00:00,1672358400
12/30/2022 6:00,85,144,2022-12-29:23,5,58.3,38.9,28.33,32.7,2022-12-29T23:00:00,1672354800
12/30/2022 5:00,87,146.1,2022-12-29:22,5,57.7,36.3,29,34.3,2022-12-29T22:00:00,1672351200
12/30/2022 4:00,91,148.2,2022-12-29:21,5,57,38.8,31,36,2022-12-29T21:00:00,1672347600
12/30/2022 3:00,145,151.2,2022-12-29:20,5.3,56.3,65,52,37.7,2022-12-29T20:00:00,1672344000
12/30/2022 2:00,123,154.1,2022-12-29:19,5.7,55.7,55,44,39.3,2022-12-29T19:00:00,1672340400
12/30/2022 1:00,129,157,2022-12-29:18,6,55,57.5,46,41,2022-12-29T18:00:00,1672336800
12/30/2022 0:00,121,163.6,2022-12-29:17,6.7,55.3,53.8,43,41.7,2022-12-29T17:00:00,1672333200
12/29/2022 23:00,121,170.2,2022-12-29:16,7.3,55.7,53.8,43,42.3,2022-12-29T16:00:00,1672329600
12/29/2022 22:00,129,176.8,2022-12-29:15,8,56,57.5,46,43,2022-12-29T15:00:00,1672326000
12/29/2022 21:00,129,196.1,2022-12-29:14,10,57,57.5,46,50.7,2022-12-29T14:00:00,1672322400
12/29/2022 20:00,107,215.3,2022-12-29:13,12,58,47.5,38,58.3,2022-12-29T13:00:00,1672318800
12/29/2022 19:00,118,234.6,2022-12-29:12,14,59,52.5,42,66,2022-12-29T12:00:00,1672315200
12/29/2022 18:00,102,238.3,2022-12-29:11,16,69.7,45,36,80,2022-12-29T11:00:00,1672311600
12/29/2022 17:00,126,242,2022-12-29:10,18,80.3,56.3,45,94,2022-12-29T10:00:00,1672308000
12/29/2022 16:00,107,245.7,2022-12-29:09,20,91,47.5,38,108,2022-12-29T09:00:00,1672304400
12/29/2022 15:00,104,234,2022-12-29:08,18.3,88,46.3,37,105.3,2022-12-29T08:00:00,1672300800
12/29/2022 14:00,98,222.4,2022-12-29:07,16.7,85,42.5,34,102.7,2022-12-29T07:00:00,1672297200
12/29/2022 13:00,110,210.7,2022-12-29:06,15,82,48.8,39,100,2022-12-29T06:00:00,1672293600
12/29/2022 12:00,104,196.5,2022-12-29:05,12,76.7,46.3,37,84.7,2022-12-29T05:00:00,1672290000
12/29/2022 11:00,100,182.3,2022-12-29:04,9,71.3,43.8,35,69.3,2022-12-29T04:00:00,1672286400
12/29/2022 10:00,95,168.1,2022-12-29:03,6,66,41.3,33,54,2022-12-29T03:00:00,1672282800
12/29/2022 9:00,107,172.7,2022-12-29:02,6,64,47.5,38,50.3,2022-12-29T02:00:00,1672279200
12/29/2022 8:00,121,177.4,2022-12-29:01,6,62,53.8,43,46.7,2022-12-29T01:00:00,1672275600
