Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
1/1/2024 0:00,2023-12-31T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,208,177,19.7,51,123.8,99,75,66,0,1016,86,20.5,0,0.66
1/1/2024 1:00,2023-12-31T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,139,174.5,20,47,74,50,75,87,0,1016,86,21,0,1
1/1/2024 2:00,2023-12-31T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,213,318,100.7,33.1,128.8,103,92,87,0,1016,85,20.9,0,0.66
1/1/2024 3:00,2023-12-31T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,197,706,254,5.4,136,91,126,87,0,1015,85,20.8,0,0.33
1/1/2024 4:00,2023-12-31T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,200,605,262,5.4,140,93,126,87,0,1015,85,20.7,0,0.8
1/1/2024 5:00,2023-12-31T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,227,489.7,182.3,12.9,141.3,113,114.3,100,0,1016,88,19,0,1.5
1/1/2024 6:00,2023-12-31T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,258,374.4,102.7,20.5,171.3,137,102.7,100,0,1016,88,19,0,2.1
1/1/2024 7:00,2024-01-01T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,163,259.1,23,28,94,65,91,62,0,1017,87,20.2,1.2,0.8
1/1/2024 8:00,2024-01-01T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,222.2,20.7,42.7,193.8,155,104,58,0,1017,79,21.5,1.4,0.8
1/1/2024 9:00,2024-01-01T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,185.2,18.3,57.3,226.3,181,117,54,0,1017,72,22.7,1.7,0.8
1/1/2024 10:00,2024-01-01T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,270,148.2,16,72,182.5,146,130,50,0,1018,65,24,3.1,1.2
1/1/2024 11:00,2024-01-01T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,232,907,308,8.6,166,117,132,50,0,1017,62,25,4.2,0.66
1/1/2024 12:00,2024-01-01T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,192,806,308,11.9,138,87,126,50,0,1016,58,26,4.6,1.33
1/1/2024 13:00,2024-01-01T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,103.9,9,95,67,43,107,50,0,1015,55,27,4.7,2
1/1/2024 14:00,2024-01-01T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,102.3,9,96.3,73.8,59,102,41,0,1014,56,26.8,3.8,2.33
1/1/2024 15:00,2024-01-01T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,100.8,9,97.7,71.3,57,97,33,0,1014,57,26.7,1.9,2.66
1/1/2024 16:00,2024-01-01T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,99.2,9,99,73.8,59,92,25,0,1013,58,26.5,0.9,3
1/1/2024 17:00,2024-01-01T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,145,115.9,11,94.7,65,52,91.3,50,0,1014,66,25.2,1.5,3
1/1/2024 18:00,2024-01-01T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,132.7,13,90.3,71.3,57,90.7,75,0,1014,74,23.8,0,3
1/1/2024 19:00,2024-01-01T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,110,149.4,15,86,61,39,90,100,0,1015,84,22.5,0,3
1/1/2024 20:00,2024-01-01T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,151.5,14.3,86.3,96.3,77,86.3,100,0,1015,86,22.2,0,2.33
1/1/2024 21:00,2024-01-01T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,187,153.7,13.7,86.7,103.8,83,82.7,100,0,1016,88,22,0,1.66
1/1/2024 22:00,2024-01-01T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,155.8,13,87,106.3,85,79,100,0,1016,90,21.7,0,1
1/1/2024 23:00,2024-01-01T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,145.1,12.3,87.7,106.3,85,71.3,100,0,1016,91,21.7,0,1
1/2/2024 0:00,2024-01-01T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,134.4,11.7,88.3,106.3,85,63.7,100,0,1016,92,21.6,0,1
1/2/2024 1:00,2024-01-01T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,123.7,11,89,60,40,56,100,0,1016,93,21.6,0,1
1/2/2024 2:00,2024-01-01T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,132.5,11,85.7,106.3,85,54.3,100,0,1015,93,21.5,0,1
1/2/2024 3:00,2024-01-01T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,141.2,11,82.3,106.3,85,52.7,100,0,1015,93,21.3,0,1
1/2/2024 4:00,2024-01-01T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,187,150,11,79,103.8,83,51,100,0,1014,94,21.2,0,1
1/2/2024 5:00,2024-01-01T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,168.7,12.7,73.3,98.8,79,56.7,100,0,1015,93,21.1,0,1
1/2/2024 6:00,2024-01-01T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,187.3,14.3,67.7,98.8,79,62.3,100,0,1015,93,21.1,0,1
1/2/2024 7:00,2024-01-02T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,187,206,16,62,103.8,83,68,100,0,1016,93,21,0.8,1
1/2/2024 8:00,2024-01-02T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,193,16,67,86.8,66.67,80.7,91,0,1016,90,21.7,1.4,0.66
1/2/2024 9:00,2024-01-02T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,179.9,16,72,106.3,85,93.3,83,0,1017,88,22.5,1.8,0.33
1/2/2024 10:00,2024-01-02T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,98,166.9,16,77,53,34,106,75,0,1017,85,23.2,1.6,2.4
1/2/2024 11:00,2024-01-02T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,144.3,13,81,57,40,88.3,75,0,1016,77,24.3,1.9,0.33
1/2/2024 12:00,2024-01-02T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,121.8,10,85,88.8,71,70.7,75,0,1015,70,25.4,4.1,0.66
1/2/2024 13:00,2024-01-02T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,145,99.2,7,89,65,52,53,75,0,1013,64,26.5,4.3,1
1/2/2024 14:00,2024-01-02T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,87,98.8,7,89.3,36,29,52,58,0,1013,63,26.6,3.1,1.33
1/2/2024 15:00,2024-01-02T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,98.4,7,89.7,61.3,49,51,41,0,1013,62,26.7,1.3,1.66
1/2/2024 16:00,2024-01-02T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,126,98,7,90,56.3,45,50,25,0,1012,61,26.8,1.8,2
1/2/2024 17:00,2024-01-02T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,130,120.4,9.3,83.7,60,46.5,53.3,35,0,1013,66,25.7,1.7,2.33
1/2/2024 18:00,2024-01-02T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,138,142.8,11.7,77.3,59,49.5,56.7,45,0,1014,71,24.5,0,2.66
1/2/2024 19:00,2024-01-02T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,165.2,14,71,60,48,60,56,0,1014,76,23.4,0,3
1/2/2024 20:00,2024-01-02T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,176.6,14,70.7,54,43,60.7,66,0,1015,79,23,0,2.66
1/2/2024 21:00,2024-01-02T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,146,188.1,14,70.3,56.7,52.33,61.3,77,0,1015,82,22.6,0,2.33
1/2/2024 22:00,2024-01-02T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,199.6,14,70,55,54.5,62,87,0,1016,85,22.2,0,2
1/2/2024 23:00,2024-01-02T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,180.1,13,73.7,51,51,63.3,83,0,1016,87,22,0,1.66
1/3/2024 0:00,2024-01-02T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,141,160.7,12,77.3,55,50.5,64.7,79,0.5,1016,88,21.8,0,1.33
1/3/2024 1:00,2024-01-02T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,138,141.2,11,81,53,49.5,66,75,1.5,1016,90,21.6,0,1
1/3/2024 2:00,2024-01-02T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,107,137.9,10.7,75,48,38,65.7,62,2,1016,91,21.5,0,1
1/3/2024 3:00,2024-01-02T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,134.6,10.3,69,49,49,65.3,50,1,1016,92,21.3,0,1
1/3/2024 4:00,2024-01-02T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,131.3,10,63,83.8,67,65,37,0.5,1016,94,21.2,0,1
1/3/2024 5:00,2024-01-02T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,255.5,37.3,44.2,55,55,68,45,0.5,1017,91,20.4,0,1.66
1/3/2024 6:00,2024-01-02T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,67,379.8,64.7,25.3,20,20,71,54,0.5,1017,88,19.5,0,2.33
1/3/2024 7:00,2024-01-03T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,92,504,92,6.5,52,31.5,74,62,1,1018,86,18.7,0.6,3
1/3/2024 8:00,2024-01-03T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,129,403,69,6.5,67,46,79,75,1,1019,83,18.5,0.7,2.66
1/3/2024 9:00,2024-01-03T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,76,369.3,72,7.2,30,24,74,87,0.5,1020,80,18.4,1,2.33
1/3/2024 10:00,2024-01-03T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,302,62,7.6,98,49,74,100,0,1021,77,18.2,1.4,2
1/3/2024 11:00,2024-01-03T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,99,259.7,45.3,25,38,34.5,85.7,95,0,1021,77,18,1.8,2.33
1/3/2024 12:00,2024-01-03T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,217.4,28.7,42.5,50,40,97.3,91,0,1020,76,17.7,2,2.66
1/3/2024 13:00,2024-01-03T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,78,175.1,12,60,25,25,109,87,0,1019,76,17.5,1.8,3
1/3/2024 14:00,2024-01-03T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,89,177.8,13,60.7,30,30,116.7,87,0,1019,69,18.4,1.5,2.66
1/3/2024 15:00,2024-01-03T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,72,180.5,14,61.3,28,22,124.3,87,0,1018,62,19.2,1,2.33
1/3/2024 16:00,2024-01-03T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,104,183.3,15,62,46.3,37,132,87,0,1018,56,20.1,0.7,2
1/3/2024 17:00,2024-01-03T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,100,208.3,18.3,53.7,38,35,135.7,87,0,1018,62,19.6,0.6,1.66
1/3/2024 18:00,2024-01-03T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,233.4,21.7,45.3,54,43,139.3,87,0,1018,69,19.2,0,1.33
1/3/2024 19:00,2024-01-03T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,258.5,25,37,79,66,143,87,0,1019,77,18.7,0,1
1/3/2024 20:00,2024-01-03T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,229,267.7,24.7,35.7,143.8,115,138.3,91,0,1019,77,18.7,0,1
1/3/2024 21:00,2024-01-03T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,168,276.8,24.3,34.3,86,69,133.7,95,0,1019,77,18.7,0,1
1/3/2024 22:00,2024-01-03T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,286,24,33,148.8,119,129,100,0,1020,77,18.7,0,1
1/3/2024 23:00,2024-01-03T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,163,270.8,22.7,33,65,65,120.3,100,0,1019,77,18.6,0,1
1/4/2024 0:00,2024-01-03T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,255.6,21.3,33,66,66,111.7,100,0,1019,76,18.6,0,1
1/4/2024 1:00,2024-01-03T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,167,240.4,20,33,74,68,103,100,0,1018,76,18.5,0,1
1/4/2024 2:00,2024-01-03T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,228.6,19,33.7,59,57,102.3,100,0,1018,76,18.4,0,0.66
1/4/2024 3:00,2024-01-03T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,173,216.7,18,34.3,91,73,101.7,100,0,1018,76,18.3,0,0.33
1/4/2024 4:00,2024-01-03T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,204.8,17,35,78.8,63,101,100,0,1017,76,18.2,0,1.2
1/4/2024 5:00,2024-01-03T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,10,57,4.4,64,63,62,100,0,1018,73,18.2,0,0.8
1/4/2024 6:00,2024-01-03T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,149,222.7,19.7,34.3,60,53.5,106.3,100,0,1018,70,18.2,0,1.2
1/4/2024 7:00,2024-01-04T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,231.7,21,34,48,48,109,100,0,1019,68,18.2,0.7,1.6
