Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2024-12-30 00:00:00,2024-12-29T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,188,290.0,16.0,69.7,84.3,83.67,96.7,25,0.0,1019,91,15.8,0.0,1.33
2024-12-30 01:00:00,2024-12-29T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,189,277.8,15.0,66.0,86.0,85.0,89.0,25,0.0,1018,94,15.5,0.0,1.0
2024-12-30 02:00:00,2024-12-29T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,191,269.6,14.3,65.0,87.3,86.33,84.7,50,0.0,1018,94,15.4,0.0,0.66
2024-12-30 03:00:00,2024-12-29T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,193,261.5,13.7,64.0,88.7,87.67,80.3,75,0.0,1018,95,15.4,0.0,0.33
2024-12-30 04:00:00,2024-12-29T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,195,253.3,13.0,63.0,90.0,89.0,76.0,100,0.0,1017,95,15.3,0.0,1.6
2024-12-30 05:00:00,2024-12-29T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,197,261.1,14.3,59.0,91.7,91.0,76.7,87,0.0,1018,91,15.5,0.0,1.2
2024-12-30 06:00:00,2024-12-29T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,200,268.8,15.7,55.0,93.3,93.0,77.3,75,0.0,1019,88,15.8,0.0,1.2
2024-12-30 07:00:00,2024-12-30T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,203,276.6,17.0,51.0,95.0,95.0,78.0,62,0.0,1020,85,16.0,0.6,1.6
2024-12-30 08:00:00,2024-12-30T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,190,249.4,16.0,68.7,86.0,85.67,87.0,75,0.0,1020,83,16.4,0.7,1.2
2024-12-30 09:00:00,2024-12-30T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,178,222.2,15.0,86.3,77.0,76.33,96.0,87,0.0,1021,81,16.8,1.0,1.2
2024-12-30 10:00:00,2024-12-30T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,194.9,14.0,104.0,68.0,67.0,105.0,100,0.0,1022,79,17.2,1.5,1.2
2024-12-30 11:00:00,2024-12-30T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,160,185.0,14.0,104.7,64.3,63.0,97.0,100,0.0,1021,73,18.1,1.8,0.66
2024-12-30 12:00:00,2024-12-30T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,175.1,14.0,105.3,60.7,59.0,89.0,100,0.0,1020,67,18.9,2.1,1.33
2024-12-30 13:00:00,2024-12-30T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,165.2,14.0,106.0,57.0,55.0,81.0,100,0.0,1019,62,19.8,1.8,2.0
2024-12-30 14:00:00,2024-12-30T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,180,412.4,14.3,77.5,88.0,77.67,62.7,95,0.0,1019,63,19.9,1.4,1.33
2024-12-30 15:00:00,2024-12-30T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,248,806.0,8.0,18.4,158.0,129.0,26.0,91,0.0,1018,63,20.0,1.0,0.66
2024-12-30 16:00:00,2024-12-30T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,240,907.0,15.0,20.5,150.0,123.0,26.0,87,0.0,1018,63,20.1,0.8,2.0
2024-12-30 17:00:00,2024-12-30T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,237,1109.0,8.0,11.9,142.0,121.0,32.0,91,0.0,1018,66,19.8,0.7,0.66
2024-12-30 18:00:00,2024-12-30T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,236,1243.0,15.0,10.5,142.0,120.33,30.0,95,0.0,1019,69,19.5,0.0,1.33
2024-12-30 19:00:00,2024-12-30T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,1411.0,15.0,5.4,138.0,119.0,32.0,100,0.0,1020,73,19.2,0.0,2.0
2024-12-30 20:00:00,2024-12-30T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,1310.0,15.0,5.4,140.0,119.0,32.0,100,0.0,1020,75,19.1,0.0,1.33
2024-12-30 21:00:00,2024-12-30T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,151,1008.0,8.0,5.4,180.0,151.0,32.0,100,0.0,1021,76,18.9,0.0,0.66
2024-12-30 22:00:00,2024-12-30T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,164,806.0,15.0,7.6,200.0,164.0,32.0,100,0.0,1021,78,18.8,0.0,0.8
2024-12-30 23:00:00,2024-12-30T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,166,806.0,15.0,3.2,204.0,166.0,32.0,100,0.0,1021,80,18.6,0.0,1.0
2024-12-31 00:00:00,2024-12-30T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,806.0,15.0,4.7,202.7,165.33,32.0,100,0.0,1020,81,18.4,0.0,2.0
2024-12-31 01:00:00,2024-12-30T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,166,806.0,15.0,3.2,204.0,166.0,32.0,100,0.0,1020,83,18.2,0.0,3.0
